numero_de_publication;date_de_publication;type_de_publication;type_de_demande;numero_de_depot;date_de_depot;priorite_s;cib;cpc;titre
FR3089856;2020-06-19;A1;Demande française;FR1872925;2018-12-14;FR1872925 (20181214);B29C  70/54,B29C  33/02,B29C  70/34,B29K 101/10,F01D  25/24;B29C  33/0055,B29C  43/02,B29C  43/203,B29C  43/32,B29C  43/34,B29C  43/52,B29C  70/342,B29C  70/382,B29C  70/44,B29C  70/546,B29C  70/548,B29C2043/3233,B29C2043/3238,B29C2043/3444,B29C2043/3613,B29L2031/30,B29L2031/7504;MOULE DE CUISSON POUR FABRIQUER UNE PIECE DE TURBOMACHINE EN MATERIAU COMPOSITE A PARTIR D’UNE PREFORME, PROCEDE DE FABRICATION D’UNE PIECE AU MOYEN D’UN TEL MOULE ET PIECE OBTENUE PAR UN TEL PROCEDE
FR3093030;2020-08-28;A1;Demande française;FR1901821;2019-02-22;FR1901821 (20190222);B60J   1/00,B60J  10/36;B60J   1/006,B62D  25/06;VITRAGE A CLIP DE MAINTIEN POUR PIECE DE COUVERTURE
FR3087379;2020-04-24;A1;Demande française;FR1871249;2018-10-22;FR1871249 (20181022);B29C  64/153,B22F   3/105,B29C  64/386,B33Y  10/00,C04B  35/64;B29C  64/153,B33Y  80/00;PROCEDE DE FABRICATION D’UNE PIECE, PIECE ET PROCEDE DE DETERMINATION D’UN CODE ASSOCIE A UNE PIECE
FR3087517;2020-04-24;A1;Demande française;FR1859702;2018-10-19;FR1859702 (20181019);F16L  41/14,F16L  15/04,F16L  41/08;F16L  41/08,F16L  41/088,F16L  41/14;DISPOSITIF DE RACCORDEMENT POUR REALISER LE PIQUAGE D'UN TUBE SUR UNE PAROI DE CANALISATION
FR3087976;2020-05-01;A1;Demande française;FR1860124;2018-10-31;FR1860124 (20181031);H04B   1/18,H01Q   1/32;H04B   1/18,H04B   1/40;BOITIER TELEMATIQUE POUR VEHICULE AUTOMOBILE
FR3087991;2020-05-01;A1;Demande française;FR1859988;2018-10-29;FR1859988 (20181029);H05B   3/12,H05B   3/54;B29C  63/0017,B29C  63/0056,B29C  63/0069,B29C  63/42,B29K2305/00,B29K2995/0026,B29K2995/0049,H05B   3/34,H05B2203/013,H05B2214/04;PREPARATION D'UN SYSTEME DE CHAUFFAGE A PARTIR D'UN SUBSTRAT THERMORETRACTABLE
FR3088520;2020-05-22;A1;Demande française;FR1871639;2018-11-20;FR1871639 (20181120);A01N  25/34,A01N  25/00;A01N  25/004;PROCÉDÉ DE PRÉPARATION D’APPATS POUR RONGEURS
FR3089279;2020-06-05;A1;Demande française;FR1872201;2018-12-03;FR1872201 (20181203);F23J  11/04,B60R  16/00,F01N   3/021,F01N  11/00;B60H   1/2209,B60H2001/2281,F01N   3/021,F01N  13/008,F01N  13/08,F01N2240/14,F01N2560/08,F01N2560/20,F23J  15/06,F23N2241/14;VEHICULE EQUIPE D’UNE CHAUDIERE ADDITIONNELLE
FR3089383;2020-06-05;A1;Demande française;FR1913385;2019-11-28;JP2018-223805 (20181129);H05B  47/23;B60R  16/0232,G01R  31/44,B60Q  11/005,H05B  45/54,H05B  45/58,B60Q   1/0094,H05B  45/58;Dispositif de détection de défaillance de source de lumière, procédé de réglage de dispositif de détection de défaillance de source de lumière, et ensemble de lampe
FR3089574;2020-06-12;A1;Demande française;FR1872438;2018-12-06;FR1872438 (20181206);F04C  15/06;F04C  18/0215,F04C  29/126,F15D   1/0015;Agencement de clapet de refoulement pour un compresseur à spirales
FR3085001;2020-02-21;A3;Certificat d'utilité;FR1870933;2018-08-16;FR1870933 (20180816);A63B  17/04,A63B  21/04;A63B  17/04,A63B  21/04,A63B  71/0054,A63B2023/006,A63B2210/50,A63B2225/093;CADRE D'ETIREMENT DE FITNESS.
FR3085653;2020-03-13;A1;Demande française;FR1909463;2019-08-28;DE10 2018 215 335.3 (20180910);B60W  30/06,G08G   1/14;B60W  30/06,B62D  15/0285,G06Q  10/063,G06Q  10/0631,G06Q  50/30,G08G   1/143,G08G   1/146;Procédé d’occupation d’une surface de rangement de véhicules et dispositif pour sa mise en œuvre
FR3088914;2020-05-29;A1;Demande française;FR1871948;2018-11-27;FR1871948 (20181127);B65D  43/02;B65D  17/4011;Couvercle pour un corps de contenant, en particulier pour un contenant du genre boîte de conserve
FR3090723;2020-06-26;A1;Demande française;FR1873906;2018-12-21;FR1873906 (20181221);E05D   1/06,E05D   7/00;E05D   1/06,E05D   7/10,E05D  11/0081,E05Y2900/20;CHARNIÈRE DE PORTE POUR MEUBLE ÉLECTRIQUE
FR3091017;2020-06-26;A1;Demande française;FR1873848;2018-12-21;FR1873848 (20181221);H01L  27/115,G06F   7/58,H04L   9/10;G11C   7/24,G11C  17/16,G11C  17/18,H01L  27/0207,H01L  27/11206,G11C   5/02,G11C  17/12,H01L  27/11213;Mémoire de puce électronique
FR3091197;2020-07-03;A1;Demande française;FR1874184;2018-12-26;FR1874184 (20181226);B29C  70/44,B29C  70/54;B29C  33/68,B29C  43/12,B29C  43/3642,B29C  70/085,B29C  70/44,B29C  70/542,B29C2043/3657,B29K2105/0872,B29K2105/256;PROCÉDÉ AMÉLIORÉ DE FABRICATION D’UNE PIECE COMPOSITE A PARTIR D’UNE FEUILLE EN MATÉRIAU PRÉ-IMPRÉGNÉE
FR3085776;2020-03-13;A1;Demande française;FR1858007;2018-09-06;FR1858007 (20180906);G06Q  10/06,G06Q  50/30;B60L   7/10,B61C   3/00,B61L  23/12,B61L  23/14,B60L  50/50,B60L  55/00,B61L  27/0016,B61L  27/0027,B61L  27/0038,B61L  27/04,G06Q  10/04,G06Q  50/06,Y02T  10/70,B60T   8/1705,B61L   3/006,B61L  27/0027,B61L  27/04;PROCEDE D'OPTIMISATION DE CONSOMMATION ELECTRIQUE D'UNE PLURALITE DE VEHICULES, PRODUIT PROGRAMME D'ORDINATEUR ET SYSTEMES DE CONDUITE ET DE SUPERVISION AUTOMATISES ASSOCIES
FR3089952;2020-06-19;A1;Demande française;FR1873133;2018-12-18;FR1873133 (20181218);B64D  11/06;B64D  11/0023,B64D  11/0606;DISPOSITIF DE FERMETURE D'UN PASSAGE ENTRE DEUX UNITES DE SIEGES
FR3088537;2020-05-22;A1;Demande française;FR1860649;2018-11-16;FR1860649 (20181116);A61C  13/00;A61C   5/35,A61C  13/0006,A61C  13/0022,A61C  13/30;FABRICATION D'UN INLAY-CORE PAR USINAGE EN CABINET
FR3088700;2020-05-22;A1;Demande française;FR1871609;2018-11-20;FR1871609 (20181120);F16L  59/02,B64G   1/58,C08K   7/00,C08L  63/00;B29C  70/025,B64G   1/58;Matériau composite pour la protection thermique d’une pièce structurale
FR3087042;2020-04-10;A1;Demande française;FR1801049;2018-10-04;FR1801049 (20181004);G08G   5/00;G08G   5/0039,G08G   5/0069,B64C  39/024,B64C2201/12,G05D   1/0027,G08G   5/003;GESTION DE SYSTEMES DE GESTION DE VOL ASYNCHRONES
FR3087764;2020-05-01;A1;Demande française;FR1859913;2018-10-26;FR1859913 (20181026);C01G  23/00,H01L  35/16,H01L  35/34;C01G  23/007,H01L  35/16;PROCEDE DE PREPARATION DE COUCHES MINCES DE TYPE SULFURE DE TITANE/AMINE ET COUCHES MINCES OBTENUES
FR3084958;2020-02-14;A1;Demande française;FR1857415;2018-08-09;FR1857415 (20180809);G21C   7/12,G21C   9/02,G21C  15/04;G21C   7/36,G21C  17/112,G21D   3/04,Y02E  30/00,Y02E  30/30;PROCEDE DE LIMITATION DE FONCTIONNEMENT D'UN REACTEUR NUCLEAIRE
FR3086168;2020-03-27;A3;Certificat d'utilité;FR1910581;2019-09-25;IT202018000003434 (20180925);A61G   7/10,A61H   3/00;A61G   5/1002,A61G   5/1059,A61G   7/053,A61G   7/1007,A61G   7/1019,A61G   7/1046,A61G   7/1059,A61G   7/1067,A61G   7/1092,A61G   7/1098;MINI-ÉLÉVATEUR DE VOYAGE POUR PERSONNES HANDICAPÉES
FR3087170;2020-04-17;A1;Demande française;FR1859561;2018-10-16;FR1859561 (20181016);B60R  11/02,B60R   7/06;B60R  11/00,B60R  11/02,B60R2011/0005,B60R2011/0059,B60R2011/0071,B60R2011/0075,B60R2011/0085;DISPOSITIF DE SUPPORT D’UN APPAREIL ELECTRONIQUE PORTABLE ADAPTE SUR UNE BOITE A GANTS D’UN VEHICULE
FR3087363;2020-04-24;A1;Demande française;FR1859647;2018-10-18;FR1859647 (20181018);B05B   7/32,B05B   1/04,F23D  11/12;F23D  11/104,F23D  11/12,F24C   5/10;BUSE D'ATOMISATION ASSISTEE, ATOMISEUR ET BRULEUR LE CONTENANT ET LEUR UTILISATION
FR3087889;2020-05-01;A1;Demande française;FR1860105;2018-10-31;FR1860105 (20181031);G01M  99/00,G01N   3/36;B64D  29/00,B64D  45/00,B64D2045/0085,B64F   5/40,B64F   5/60,F16N2210/02,F16N2210/08,F16N2230/00,F16N2260/00,F16N2260/08,G01M  15/14,G01M  99/002,G05B  23/0235,G05B  23/0283;DISPOSITIF ET PROCEDE DE SURVEILLANCE DE DUREE DE VIE D'UN EQUIPEMENT HYDRAULIQUE D'UN AERONEF
FR3089284;2020-06-05;A1;Demande française;FR1872158;2018-11-30;FR1872158 (20181130);F41H   1/02,F41H   5/04;F41H   1/02,F41H   5/0485,F41H   5/0492;Elément de protection balistique comprenant une parti de protection renforcée et une partie de protection allégée
FR3093978;2020-09-25;A1;Demande française;FR1902940;2019-03-21;FR1902940 (20190321);B60W  50/16,B60N   2/58,B60N   2/90;B60N   2/0228,B60N   2/58,B60N   2/5891;Dispositif d’interaction tactile pour véhicule
FR3085922;2020-03-20;A1;Demande française;FR1858491;2018-09-19;FR1858491 (20180919);B60S   1/04,G01R  27/02,G05B  15/02,G05B  19/21;B60S   1/0851,B60S   1/0874;DETECTION DE NEIGE SUR UNE SURFACE VITREE D'UN VEHICULE AUTOMOBILE
FR3094939;2020-10-16;A1;Demande française;FR1903882;2019-04-11;FR1903882 (20190411);B60W  40/06,B60W  50/14;B60W  40/06,B60W2050/143,B60W2552/40,B60W2555/20,B60W2556/55,B60W2556/65;ASSISTANCE À LA CONDUITE D’UN VÉHICULE PAR DÉTERMINATION DE GLACE, VERGLAS OU NEIGE SUR SA PORTION DE ROUTE
FR3087459;2020-04-24;A1;Demande française;FR1870713;2018-06-15;FR1870713 (20180615);E04C   2/02;E04C   2/296,E04C   2/328,E04C   2/365;PANNEAU TECHNIQUE POUR CLOISON SECHE
FR3090880;2020-06-26;A1;Demande française;FR1873282;2018-12-19;FR1873282 (20181219);G01N   3/16;A01D  44/00,G01N  19/00;DISPOSITIF ET PROCEDE DE MESURE D’AU MOINS UN PARAMETRE D’ARRACHAGE D’UNE PLANTE
FR3095107;2020-10-23;A1;Demande française;FR1904154;2019-04-18;FR1904154 (20190418);A41D  23/00,A41D  27/20;A41D  23/00,A41D  27/20,A41D2400/422;Pochette accessoire féminin intégrant un Hijab de Poche
FR3096800;2020-12-04;A1;Demande française;FR1913444;2019-11-29;FR1905718 (20190529);G06F  16/23,G06Q  50/14;G06F  16/256,G06Q  10/02,G06Q  50/12,G06F  16/22,G06F  16/23,G06F  16/2358,G06F  16/2379,G06F  16/2456,G06F  16/248,G06F  16/252,G06F  16/258;Système et procédé pour intégrer des objets de données hétérogènes
FR3085366;2020-03-06;A1;Demande française;FR1903529;2019-04-02;FR1903529 (20190402);B65H  75/34,A62C  33/04;B65H  75/425,B65H  75/4478,B65H2701/33,B65H2701/534;Dévidoir multi-bobines, pour tuyau incendie souple, qui intègre une motopompe et dont au moins l’une des bobines présente un tambour qui est à diamètre variable.
FR3085647;2020-03-13;A1;Demande française;FR1858059;2018-09-07;FR1858059 (20180907);B60R   5/04,B60P   7/02;B60P   7/0876,B60R   5/045;DISPOSITIF OCCULTANT DE COFFRE EN MATERIAU EXTENSIBLE ET VEHICULE ASSOCIE
FR3089417;2020-06-12;A1;Demande française;FR1913700;2019-12-04;DE10 2018 221 409.3 (20181211);A61K   8/11,A61K   8/25,A61K   8/34,A61Q   5/06;A61K   8/0241,A61K   8/25,A61K   8/345,A61K   8/895,A61K2800/61,A61K2800/621,A61Q   5/06,A61K   8/25,A61K   8/345,A61K   8/44,A61K   8/891,A61K   8/895,A61K2800/56,A61K2800/623,A61Q   5/06,A61K   8/19,A61K   8/25,A61K   8/345,A61K   8/891,A61Q   5/06;Agent et procédé de mise en forme temporaire des fibres kératiniques
FR3097183;2020-12-18;A1;Demande française;FR1906205;2019-06-11;FR1906205 (20190611);B60S   3/04,B60S   3/06;B08B   3/14,B08B  17/025,B60S   3/041,B60S  13/02,C02F   1/40,C02F2103/44,C02F2209/005;STATION DE LAVAGE DE MOTOCYCLES, KIT ET ENCEINTE POUR STATION DE LAVAGE
FR3094111;2020-09-25;A1;Demande française;FR1903015;2019-03-22;FR1903015 (20190322);G06F  21/77,B42D  25/30,G06F  21/44;G06F  21/73,G06K  19/0723,G06K  19/0779,G06K  19/086,G06K  19/10,H01L  23/573;Dispositif de sécurisation de puces électroniques, de leurs données, de leurs périphériques de communication, et des objets auxquels ils sont rattachés.
FR3096533;2020-11-27;A1;Demande française;FR1907090;2019-06-28;FR1907090 (20190628);H04L  29/06,H04L  12/16;H04L  61/2503,H04L  63/0281,H04L  63/0884,H04L  63/14,H04L  63/166,H04L  67/16,H04L  67/28,H04L  67/2804,H04L  69/164;Procédé de gestion d’une communication entre terminaux dans un réseau de communication, et dispositifs pour la mise en œuvre du procédé
FR3094290;2020-10-02;A1;Demande française;FR1903397;2019-03-29;FR1903397 (20190329);B60N   2/75,B60W  50/08;B60N   2/0252,B60N   2/797;Véhicule comportant un accoudoir muni d’un dispositif de commande d’au moins une fonction du véhicule
FR3085810;2020-03-13;A1;Demande française;FR1871018;2018-09-11;FR1871018 (20180911);H02N   2/06;B64G   1/409,F03G   7/10;RENVOI D’INERTIE PAR PROPULSION ET FREINAGE MAGNETIQUE
FR3086561;2020-04-03;A1;Demande française;FR1859013;2018-09-28;FR1859013 (20180928);B05B   7/24,B05B   7/32,B60H   3/02;B05B   7/0012,B05B  17/0676,B60H   3/0085,B60H   3/022,C02F   1/325,C02F   1/44,C02F2201/001,C02F2201/3222;SYSTEME D'ALIMENTATION EN FLUIDE ET SYSTEME DE NEBULISATION POUR VEHICULE AUTOMOBILE EQUIPE D'UN TEL SYSTEME D'ALIMENTATION
FR3087138;2020-04-17;A1;Demande française;FR1871173;2018-10-14;FR1871173 (20181014);B09B   1/00,E02B  15/00;B09B   3/00,B09B   5/00,E02B  15/046,E02B  15/0814;DISPOSITIF POUR STOCKER ET ELIMINER LES ALGUES EN PLEINE MER
FR3087212;2020-04-17;A1;Demande française;FR1801084;2018-10-15;FR1801084 (20181015);E04C   1/40;E04B2002/0293,E04C   1/40,E04C   1/41;INSERT ISOLANT POUR BLOC BETON DE CONSTRUCTION
FR3087689;2020-05-01;A1;Demande française;FR1871335;2018-10-30;FR1871335 (20181030);B23Q  37/00;G06Q  10/063,G06Q  50/04,G05B  19/418,Y02P  90/30;SYSTEME ET PROCEDE DE FABRICATION POUR UN ATELIER DE FABRICATION D’EQUIPEMENTS.
FR3087997;2020-05-08;A1;Demande française;FR1801159;2018-11-05;FR1801159 (20181105);A23G   9/12,A23G   9/16;A23G   9/08,A23G   9/12,A23G   9/20,A23G   9/224;"DISPOSITIF INNOVANT DE FABRICATION DE GLACE SOFT DITE "" GLACE A L'ITALIENNE"""
FR3087837;2020-05-01;A1;Demande française;FR1871308;2018-10-25;FR1871308 (20181025);F02B  37/10;F02B  37/105,F02C   3/06,F02C   5/06,F02C   7/36,F05D2260/40311,F16H   1/46,Y02T  10/12,Y02T  50/60,F02C   7/32,F02C   7/36,F02K   3/06,F05D2220/323,F05D2220/36,F05D2230/60,F05D2240/62,F05D2260/40311,F16H  57/0479,F16H  57/0482,F16H  57/082;ENSEMBLE POUR TURBOMACHINE
FR3088270;2020-05-15;A1;Demande française;FR1860281;2018-11-08;FR1860281 (20181108);B60R   5/04;B60R   5/047;SYSTEME DE RECOUVREMENT D’UN COMPARTIMENT A BAGAGES DE VEHICULE AUTOMOBILE
FR3088546;2020-05-22;A1;Demande française;FR1860576;2018-11-16;FR1860576 (20181116);A61K   8/22,A61K   8/25,A61K   8/85,A61K   8/92,A61Q   5/08;A61K   8/22,A61K   8/31,A61K   8/85,A61Q   5/08;COMPOSITION COMPRENANT UN SEL PEROXYGENE ET UN POLYMERE D’ACIDES GRAS HYDROXYLES
FR3090296;2020-06-26;A1;Demande française;FR1873457;2018-12-19;FR1873457 (20181219);A45D  40/26,A45D  34/04;A46B   1/00,A46B   9/021,A46D   1/0253,A46D   1/0261;Applicateur pour appliquer un produit cosmétique sur les cils et/ou sourcils.
FR3087348;2020-04-24;A1;Demande française;FR1871209;2018-10-18;FR1871209 (20181018);A63C  17/02,A63C  17/14,A63C  17/28;A63C  17/015,A63C  17/12,A63C  17/1454,A63C2017/1463,A63C2203/42;PLANCHE A ROULETTES MUNIE D'UN DISPOSITIF MECANIQUE DE STOCKAGE D'ENERGIE DE FREINAGE POUR SA RESTITUTION ULTERIEURE
FR3089632;2020-06-12;A1;Demande française;FR1872712;2018-12-11;FR1872712 (20181211);G01N  33/00;G01N  27/4077;Sonde de mesure d’une propriété d’un gaz
FR3090151;2020-06-19;A1;Demande française;FR1872882;2018-12-13;FR1872882 (20181213);G06F  17/10;G06F  17/11,H02P  23/14;Procédé et système de traitement de signal pour extraire un signal utile d’un signal perturbé
FR3090825;2020-06-26;A3;Certificat d'utilité;FR1873593;2018-12-20;FR1873593 (20181220);F23N   1/02,G01J   5/10;B01J   8/062,C01B   3/384,C01B2203/0233,C01B2203/0816,C01B2203/1614,F23C2900/03002,F27D  21/0014,F27D  99/0033;Méthode de contrôle en continu de la température des tubes dans un four de reformage de méthane à la vapeur
FR3090846;2020-06-26;A1;Demande française;FR1873376;2018-12-19;FR1873376 (20181219);F28F   9/22,F28D   1/053;F28D   1/05383,F28F   9/0229,F28F   9/0278,F28F   9/0282;Échangeur de chaleur avec boîte collectrice comportant une plaque de guidage
FR3091242;2020-07-03;A1;Demande française;FR1874194;2018-12-26;FR1874194 (20181226);B60S   1/68;B60S   1/488,B60S   1/56;Procédé de nettoyage d'une surface optique d’un véhicule automobile
FR3092103;2020-07-31;A1;Demande française;FR1900801;2019-01-29;FR1900801 (20190129);B81C   1/00,B01L   3/00;B81C  99/0085,B81C  99/009;Procédé de fabrication de dispositifs microfluidiques 3D
FR3089863;2020-06-19;A1;Demande française;FR1900893;2019-01-31;FR1873050 (20181217);B60C  11/13,B60C   3/04;B60C  11/0323,B60C  11/12,B60C  11/1281,B60C  11/1315,B60C2200/06;Bande de roulement ayant des cavités cachées prolongées par des ouvertures décalées
FR3091479;2020-07-10;A1;Demande française;FR1900128;2019-01-07;FR1900128 (20190107);A47C  19/00,A47D   7/00;A47C  19/202,A47C  31/023,A47C  31/026,A47D   7/005;couchette notamment empilable
FR3092296;2020-08-07;A1;Demande française;FR1901171;2019-02-06;FR1901171 (20190206);B60R  21/16,B60R  21/20,B60R  21/235,B60R  21/33;B60N   2/4235,B60N   2/4249,B60N   2/4279,B60R2021/0266,B60R2021/23161,B60R2021/26023;DISPOSITIF DE RETENUE ANTI-BASCULEMENT DE SIÈGE, POUR UN VÉHICULE
FR3092300;2020-08-07;A1;Demande française;FR1901110;2019-02-05;FR1901110 (20190205);B60T  11/10;B60T   5/00,B60T  13/161,B60T  17/04,B60T  17/221,F16D2065/782;SYSTÈME DE FREINAGE DE ROUES D’UN VÉHICULE, À LIQUIDE DE FREIN REFROIDI PAR CIRCULATION
FR3093131;2020-08-28;A1;Demande française;FR1901847;2019-02-22;FR1901847 (20190222);F01D   5/32,F01D   5/02;F01D   5/3015;Ensemble pour turbomachine
FR3093429;2020-09-11;A1;Demande française;FR1902376;2019-03-08;FR1902376 (20190308);A61K  47/36,A61Q  11/00;A61K   8/732,A61Q  11/00,C08B  30/18,C08L   3/02;utilisation de dextrines branchées en soin ou hygiène bucco-dentaire
FR3093872;2020-09-18;A1;Demande française;FR1902663;2019-03-15;FR1902663 (20190315);H02J  50/12,B60L  53/12;B60L  53/122,H02J   7/00,H02J  50/12,H02J  50/50,H02J2310/48,Y02T  10/70,Y02T  10/7072,Y02T  90/14;Dispositif de transmission de puissance sans contact par couplage inductif a résonance pour recharger un véhicule automobile
FR3094345;2020-10-02;A1;Demande française;FR1903182;2019-03-27;FR1903182 (20190327);B64D  15/02,B64D  43/02,G01P   5/165;B64D  15/12,B64F   5/60,G01L  19/083,B64D  15/02,B64D  15/06,F28D  15/0275,F28D  15/06,F28F  19/006,G01P   5/165,B64D  15/02,B64G   1/36,B64G   1/506,B64G   1/58;ÉQUIPEMENT AÉRONAUTIQUE POUR UN AÉRONEF
FR3084551;2020-01-31;A1;Demande française;FR1856842;2018-07-24;FR1856842 (20180724);H04L   9/08,H04L   9/30,H04W  12/04;H04L2463/062,H04W  84/12,H04W  12/0433,H04W  12/50,H04W  12/00,H04W  12/08,H04W  12/03,H04W  12/041,H04W  12/0433,H04W  12/0471;RECUPERATION DE CLE RESEAU, GESTION DE RECUPERATION DE CLE RESEAU, MISE A DISPOSITION DE CLE RESEAU, TERMINAL, SERVEUR ET POINT D'ACCES LES METTANT EN ŒUVRE
FR3094556;2020-10-02;A1;Demande française;FR1903075;2019-03-25;FR1903075 (20190325);H01H   9/52;B61C  17/00,H01H  71/02,H01H  71/10,H01H   9/52,H01H  33/666,H01H2009/526;Appareil de commutation pour véhicule et véhicule associé
